region,lat,lon,temperature,dayNight,precip,traffic,severity,cnt
"36.99,-113.67",36.99,-113.67,< 80,Night,True,True,0,0
"36.99,-113.67",36.99,-113.67,80+,Night,False,True,0,0
"36.99,-113.67",36.99,-113.67,80+,Night,True,False,0,0
"36.99,-113.67",36.99,-113.67,80+,Night,True,True,0,0
"36.99,-113.67",36.99,-113.67,80+,Day,False,False,0,0
"36.99,-113.67",36.99,-113.67,80+,Day,False,True,0,0
"36.99,-113.67",36.99,-113.67,80+,Day,True,False,0,0
"36.99,-113.67",36.99,-113.67,80+,Day,True,True,0,0
"36.99,-113.67",36.99,-113.67,< 80,Night,False,False,0,0
"36.99,-113.67",36.99,-113.67,< 80,Night,False,True,0,0
"36.99,-113.67",36.99,-113.67,< 80,Night,True,False,0,0
"36.99,-113.67",36.99,-113.67,80+,Night,False,False,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Night,False,False,2,1
"36.99,-113.67",36.99,-113.67,< 80,Day,False,True,0,0
"36.99,-113.67",36.99,-113.67,< 80,Day,True,False,0,0
"36.99,-113.67",36.99,-113.67,< 80,Day,True,True,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Night,False,True,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Night,True,False,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Night,True,True,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Day,False,False,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Day,False,True,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Day,True,False,0,0
"36.99,-113.67",36.99,-113.67,<= 32,Day,True,True,0,0
"36.99,-113.67",36.99,-113.67,< 80,Day,False,False,0,0
"37.01,-109.67",37.01,-109.67,< 80,Night,True,False,0,0
"37.01,-109.67",37.01,-109.67,< 80,Night,False,True,0,0
"37.01,-109.67",37.01,-109.67,< 80,Day,False,False,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Day,False,True,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Day,False,False,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Night,True,True,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Night,True,False,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Night,False,True,0,0
"37.01,-109.67",37.01,-109.67,<= 32,Night,False,False,0,0
"37.01,-109.67",37.01,-109.67,< 80,Day,True,True,0,0
"37.01,-109.67",37.01,-109.67,< 80,Day,True,False,0,0
"37.01,-109.67",37.01,-109.67,< 80,Day,False,True,0,0
"37.01,-109.67",37.01,-109.67,< 80,Night,False,False,0,0
"37.01,-109.67",37.01,-109.67,< 80,Night,True,True,0,0
"37.01,-109.67",37.01,-109.67,80+,Night,False,False,0,0
"37.01,-109.67",37.01,-109.67,80+,Night,False,True,0,0
"37.01,-109.67",37.01,-109.67,80+,Night,True,False,0,0
"37.01,-109.67",37.01,-109.67,80+,Night,True,True,0,0
"37.01,-109.67",37.01,-109.67,80+,Day,False,False,0,0
"37.01,-109.67",37.01,-109.67,80+,Day,False,True,0,0
